Country/Region,P2P,P2P_1,P2P_2,Vul,Vul_HI,Vul_1,Vul_11,Vul_12,Vul_13,Vul_2,Vul_21,Vul_22,Vul_23,Vul_24,Vul_3/Vul_HD,Vul_31,Vul_32,Vul_33,LOCC,LOCC_HI,LOCC_1,LOCC_11,LOCC_12,LOCC_2,LOCC_21,LOCC_22,LOCC_23,LOCC_3/LOCC_HD,LOCC_31,LOCC_32,INFORM COVID-19 RISK,COVID-19 RISK CLASS
Gabon,5.0,4.1,5.5,3.7,4.5,4.3,5.5,5.2,0.8,4.6,1.3,6.3,2.8,6.550000000000001,2.7,1.7,5.8,1.6,6.6,6.4,6.8,6.9,6.6,6,4.1,8.3,2.8,6.75,6,7.5,5,High
Gambia,6.9,6.6,7.0,3.9,5.4,7.1,8.9,5.5,5.0,3.1,2.9,2.3,2.9,4.3,2.1,3.4,5.1,0,6.9,6.7,6.3,6.3,6.2,7.1,2.6666666666666665,9.9,6.6,7,6.5,7.5,5.7,High
Georgia,3.1,0.7,4.3,5.3,3.7,2.9,2.3,4,3.0,4.4,8.7,1,2.8,1,6.6,6.1,4.3,8,4,3.7,4.1,4.4,3.8,3.3,2.033333333333333,7.5,0.3,4.2,3.4,5,4,Medium
Germany,2.2,0.1,3.3,5.6,2.1,0.4,0.0,1.4,0.1,3.6,8.2,0.1,0.8,1.65,7.8,8.7,4.1,9.2,0.8,1.2,1.9,2,1.8,0.4,1.4000000000000001,0,0.1,0.45,0.9,0,2.1,Low
Ghana,5.5,6.0,5.3,3.5,4.4,5.3,7.1,5.9,1.2,3.4,3.5,4.7,1.1,3.75,2.5,3.7,4.8,0.8,5.5,5.8,5.7,5.9,5.4,5.8,0.9,9.5,3.4,5.15,5.3,5,4.7,Medium
Greece,2.2,0.1,3.3,5.6,2.1,1.5,0.6,2.2,2.5,2.7,6.6,0.2,1.1,0.8500000000000001,7.7,7.7,5.6,8.8,2.9,3.3,4.8,5.2,4.3,1.5,1.0666666666666667,2.5,0,2.5,x,2.5,3.3,Low
Grenada,2.7,0.8,3.6,3.7,2.3,2.2,2.7,x,1.2,2.4,0.0,0.1,5.7,x,4.8,5.8,3.9,4.8,4.8,4.5,5.1,4.7,5.5,3.9,1.95,7.6,0.3,5,x,5,3.6,Medium
Guatemala,4.6,2.4,5.7,4.1,4.6,5.4,6.7,6.2,1.9,3.8,7.0,1.1,4.0,1.55,3.6,3.9,7.2,1.6,5.9,6.2,6.9,7.4,6.4,5.4,2.8333333333333335,8.6,1.1,5.65,3.8,7.5,4.8,Medium
Guinea,6.9,7.8,6.5,4.7,6.1,5.5,9.1,2.2,1.5,6.7,2.7,5.4,4.0,10,2.9,3.9,7.7,0,6.7,8,7.0,7.1,6.9,8.8,9.2,9.8,6.4,4.75,4.5,5,6,High
Guinea-Bissau,7.0,7.9,6.5,4.7,6.4,7.1,9.2,6.4,3.6,5.5,3.2,5.6,7.2,5.2,2.3,1.4,7.1,0.4,7.2,7.6,8.1,8.2,8.0,7.1,2,9.8,7.4,6.75,6,7.5,6.2,High
Guyana,2.4,1.5,2.9,3.9,3.6,4.4,4.5,6.6,2.1,2.6,0.8,4,2.6,x,4.1,2.9,6.2,3.6,5.2,5.4,5.8,6,5.5,4.9,0.5333333333333333,9,1.9,5,x,5,3.7,Medium
Haiti,6.8,6.9,6.7,5.6,6.9,7.5,8.2,6.2,7.4,6.1,4.7,3.3,9.0,5.1,3.9,3.8,7.8,2,7.7,8.4,8.5,8.2,8.8,8.2,8.3,9.8,5.3,6.8,6.1,7.5,6.6,Very High
